Haykyan Month,Start Date,Start Time,End Date,End Time,Azimuth (Â°)
1,2025-08-11,04:00,2025-09-10,02:02,98
2,2025-09-10,02:02,2025-10-10,00:04,98
3,2025-10-10,00:04,2025-11-08,22:06,98
4,2025-11-08,22:06,2025-12-08,20:08,98
5,2025-12-08,20:08,2026-01-07,18:10,98
6,2026-01-07,18:10,2026-02-06,16:12,98
7,2026-02-06,16:12,2026-03-08,14:14,98
8,2026-03-08,14:14,2026-04-07,12:16,98
9,2026-04-07,12:16,2026-05-07,10:18,98
10,2026-05-07,10:18,2026-06-06,08:20,98
11,2026-06-06,08:20,2026-07-06,06:22,98
12,2026-07-06,06:22,2026-08-05,04:24,98
Avelyats,2026-08-05,04:24,2026-08-11,04:00,98
